Translation of English phrases into other languages
English                                                           Spanish                                                                 German                                                                     French                                                                       Japanese                                                        Russian                                                   Korean                                                               Greek                                                                     Polish                                                             Portugese                                                              Chinese (simplified)-                     Arabic
he's never been to America                                        él nunca ha estado en América                                           er hat nie in Amerika                                                      il n'a jamais été en Amérique                                                彼はアメリカに行ったことがないだ                                он никогда не был в Америке                               그는 미국에 가본 적이 없어요                                         αυτός ποτέ δεν ήταν στην Αμερική                                          że nigdy nie był w Ameryce                                         ele nunca foi para a América                                           他从来没有去过美国                        انه لم يكن يوما إلى أمريكا
he's not in right now                                             él no está en este momento                                              er ist nicht in diesem Augenblick                                          il ne est pas en ce moment                                                   彼は今ではありません                                            он не прямо сейчас                                        그는 지금에없는                                                      δεν είναι σε αυτή τη στιγμή                                               on nie jest w tej chwili                                           ele não está no agora                                                  他现在不在                                انه ليس في الوقت الراهن
he's right                                                        él tiene razón                                                          er hat recht                                                               il a raison                                                                  彼は正しいです                                                  он прав                                                   그는 맞아                                                            έχει δίκιο                                                                on ma rację                                                        ele está certo                                                         他是正确的                                كان على حق
he's very annoying                                                él es muy molesto                                                       er ist sehr ärgerlich,                                                     il est très ennuyeux                                                         彼は非常に迷惑なんだ                                            он очень раздражает                                       그는 매우 짜증나                                                     Είναι πολύ ενοχλητικό                                                     on jest bardzo denerwujące                                         ele é muito chato                                                      他非常讨厌                                انه أمر مزعج جدا
he's very famous                                                  él es muy famosa                                                        er ist sehr berühmt                                                        il est très célèbre                                                          彼は非常に有名だ                                                он очень известный                                        그는 매우 유명                                                       αυτός είναι πολύ διάσημος                                                 on jest bardzo znany                                               ele é muito famoso                                                     他是非常有名                              انه مشهور جدا
he's very hard working                                            él está muy trabajadora                                                 er hat sehr hart gearbeitet,                                               Il est très travaillant dur                                                  彼は非常に一生懸命働いている                                    Он очень трудолюбивый                                     그는 매우 열심히 일하고                                              Είναι πολύ εργατικός                                                      on bardzo ciężko pracuje                                           ele é muito duro de trabalho                                           他很努力工作                              انه يعمل بجد جدا
hell be back in twenty minutes                                    infierno estar de vuelta en veinte minutos                              Hölle zurück in zwanzig Minuten                                            l'enfer de retour en vingt minutes                                           地獄戻って20分であること                                        ад еще в двадцати минут                                   지옥 20 대의 분 수                                                   κόλαση είναι πίσω σε είκοσι λεπτά                                         diabła z powrotem za dwadzieścia minut                             inferno estar de volta em 20 minutos                                   地狱回到二十分钟                          الجحيم تكون العودة في عشرين دقيقة
hello                                                             hola                                                                    hallo                                                                      bonjour                                                                      こんにちは                                                      здравствуйте                                              안녕하세요                                                           γεια σας                                                                  cześć                                                              Olá                                                                    您好                                      مرحبا
help                                                              ayuda                                                                   hilfe                                                                      aidez-moi                                                                    助けて                                                          помогите                                                  도움                                                                 βοήθεια                                                                   pomoc                                                              socorro                                                                救命                                      مساعدة
here it is                                                        aquí lo tienes                                                          hier ist es                                                                c'est ici                                                                    ここにあります                                                  вот                                                       여기 있습니다                                                        εδώ είναι                                                                 tutaj jest                                                         aqui está                                                              这里是                                    ها هو
here you are                                                      aquí estás                                                              hier sind sie ja                                                           vous voilà                                                                   はい、どうぞ                                                    вот, пожалуйста                                           여기에 당신은                                                        ορίστε                                                                    tu jesteś                                                          olha você aqui                                                         给你                                      تفضل
here's my number                                                  aquí está mi número                                                     hier ist meine Nummer                                                      voici mon numéro                                                             ここに私の電話番号です                                          Вот мой номер                                             여기 내 번호예요                                                     Εδώ είναι ο αριθμός μου                                                   oto mój numer                                                      aqui está o meu número                                                 这里是我的电话号码                        وهنا رقم هاتفي
here's your order                                                 aquí está su pedido                                                     hier ist Ihre Bestellung                                                   voici votre commande                                                         ここにご注文です                                                вот ваш заказ                                             여기 당신의 명령이다                                                 Ορίστε η παραγγελία σας                                                   tu jest twoje zamówienie                                           aqui está a sua encomenda                                              这里是您的订单                            وهنا طلبك
here's your salad                                                 aquí está su ensalada                                                   hier ist Ihre Salat                                                        voici votre salade                                                           ここにあなたのサラダです                                        вот ваш салат                                             여기, 샐러드                                                         εδώ είναι σαλάτα σας                                                      tutaj masz sałatki                                                 aqui está sua salada                                                   这里是你的沙拉                            وهنا سلطتك
hi is Mrs. Smith there please                                     hi es la señora Smith no por favor                                      hallo ist Mrs. Smith es bitte                                              salut est Mme Smith il se il vous plaît                                      こんにちは夫人スミスお願いします                                привет миссис Смит там, пожалуйста                        안녕하세요 스미스 부인하십시오이다                                   γεια είναι η κα Σμιθ εκεί παρακαλώ                                        hi jest Pani Smith nie należy                                      oi é Mrs. Smith lá, por favor                                          是喜是史密斯夫人有请                      مرحبا غير السيدة سميث هناك من فضلك
his family is coming tomorrow                                     su familia viene mañana                                                 seine Familie kommt morgen                                                 sa famille est pour demain                                                   彼の家族は明日来ている                                          его семья будет завтра                                    그의 가족은 내일오고있다                                             η οικογένειά του έρχεται αύριο                                            jego rodzina przyjeżdża jutro                                      sua família está chegando amanhã                                       他的家人来了，明天                        عائلته قادم غدا
his room is very small                                            su habitación es muy pequeña                                            sein Zimmer ist sehr klein                                                 sa chambre est très petite                                                   彼の部屋は非常に小さい                                          его комната очень мала                                    그의 방은 매우 작다                                                  δωμάτιό του είναι πολύ μικρό                                              Jego pokój jest bardzo mały                                        seu quarto é muito pequeno                                             他的房间很小                              غرفته صغيرة جدا
his son                                                           su hijo                                                                 dessen Sohn                                                                son fils                                                                     彼の息子                                                        его сын                                                   그의 아들                                                            ο γιος του                                                                jego syn                                                           seu filho                                                              他的儿子                                  ابنه
how about Saturday?                                               ¿qué tal el sábado?                                                     wie wäre es mit Samstag?                                                   que diriez-vous samedi?                                                      どのように土曜日はどうですか？                                  Как насчет субботы?                                       방법 토요일 어떻습니까?                                              πώς για το Σάββατο;                                                       jak o sobotę?                                                      Como cerca de sábado?                                                  星期六怎么样？                            ماذا عن السبت؟
how are you?                                                      cómo estás?                                                             wie geht es dir?                                                           comment allez-vous?                                                          お元気ですか？                                                  как дела?                                                 어떻게 지내?                                                         πώς είσαι;                                                                jak się masz?                                                      como você está?                                                        你好吗？                                  كيف حالك؟
how are you paying?                                               cómo estás pagando?                                                     Wie zahlen Sie?                                                            comment allez-vous payer?                                                    あなたはどのように払っている？                                  как вы платите?                                           당신은 어떻게 지불?                                                  πώς πληρώνεις;                                                            jak płacisz?                                                       como você está pagando?                                                你怎么支付？                              كيف حالك دفع؟
how are your parents?                                             cómo son sus padres?                                                    Wie sind deine Eltern?                                                     comment sont vos parents?                                                    どのようにあなたの両親はありますか？                            как ваши родители?                                        어떻게 부모님은?                                                     πώς οι γονείς σου;                                                        jak są twoi rodzice?                                               como estão os seus pais?                                               如何是你的父母呢？                        كيف هي والديك؟
how do I get there?                                               cómo llego hasta allí?                                                  Wie komme ich dorthin?                                                     comment puis-je y arriver?                                                   どのように私はそこに着くのですか？                              как мне туда добраться?                                   어떻게 거기에가요?                                                   πώς μπορώ να πάρω εκεί;                                                   jak mam się tam dostać?                                            como faço para chegar lá?                                              我如何到达那里？                          كيف نصل إلى هناك؟
how do I get to daniel street?                                    cómo puedo llegar a la calle Daniel?                                    wie kann ich den daniel Straße zu bekommen?                                comment puis-je obtenir à la rue Daniel?                                     どのように私はダニエル通りに取得するのですか？                  как мне добраться до улицы Даниила?                       어떻게 다니엘 거리에받을 수 있나요?                                  πώς μπορώ να πάρω τον Daniel δρόμο;                                       jak mogę dostać się do ulicy daniel?                               como faço para obter a daniel rua?                                     我怎么丹尼尔街？                          كيف أحصل على شارع دانيال؟
how do I get to the American embassy?                             cómo puedo llegar a la Embajada de Estados Unidos?                      wie komme ich an die amerikanische Botschaft zu bekommen?                  comment puis-je obtenir à l'ambassade américaine?                            どのように私はアメリカ大使館に取得するのですか？                как мне добраться до американского посольства?            어떻게 미국 대사관에 도착합니까?                                     πώς μπορώ να πάρω την αμερικανική πρεσβεία;                               jak mogę dostać się do amerykańskiej ambasady?                     como faço para chegar à embaixada norte-americana?                     我怎么去美国大使馆？                      كيف أحصل على السفارة الأمريكية؟
how do I use this?                                                ¿cómo puedo usar esto?                                                  Wie benutze ich das?                                                       comment puis-je l'utiliser?                                                  私はこれをどのように使うのですか？                              как я могу использовать это?                              나는이 방법을 사용합니까?                                            πώς μπορώ να χρησιμοποιήσω αυτό;                                          jak tego używać?                                                   como eu uso isso?                                                      我该如何使用呢？                          كيف يمكنني استخدام هذا؟
how do you know?                                                  cómo lo sabes?                                                          woher weißt du das?                                                        comment savez-vous?                                                          どうして知っていますか？                                        откуда вы знаете?                                         당신은 어떻게 알 수 있습니까?                                        Πώς το ξέρεις;                                                            skąd wiesz?                                                        como você sabe?                                                        你怎么知道？                              كيف علمت بذلك؟
how do you pronounce that?                                        ¿cómo se pronuncia?                                                     Wie spricht man das?                                                       comment prononcez-vous cela?                                                 あなたはそれをどのように発音しますか？                          как вы произносите это?                                   당신은 어떻게 발음합니까?                                            πώς να προφέρει αυτό;                                                     jak się wymawia, że?                                               Como se pronuncia isso?                                                你怎么发音的？                            كيف نطق ذلك؟
how do you say it in English?                                     ¿cómo se dice en Inglés?                                                wie macht man das auf Englisch sagen?                                      comment dit-on en anglais?                                                   どのように英語でそれを言うのですか？                            как вы говорите, это по-русски?                           당신은 어떻게 영어로 말을합니까?                                     πώς να το πω στα αγγλικά;                                                 jak to się mówi w języku angielskim?                               Como você pode dizer isso em Inglês?                                   你怎么用英语说了吗？                      كيف يمكنك القول أنه في اللغة الإنجليزية؟
how do you spell it?                                              cómo se deletrea?                                                       wie buchstabiert man das?                                                  comment ça s'épelle?                                                         綴りはどうなりますか？                                          как это пишется?                                          당신은 어떻게 철자합니까?                                            πώς να το ξόρκι;                                                          jak się to pisze?                                                  como se soletra isso?                                                  你怎么拼？                                كيف يمكن توضيح ذلك؟
how do you spell the word Seattle?                                ¿cómo se escribe la palabra de Seattle?                                 wie wollen Sie das Wort buchstabieren Seattle?                             Comment épelez-vous le mot Seattle?                                          どのように単語シアトルを綴るのですか？                          как пишется слово Сиэтл?                                  당신은 어떻게 단어 시애틀 철자합니까?                                Πώς γράφεται η λέξη Σιάτλ;                                                jak się pisze słowo Seattle?                                       Como se escreve a palavra Seattle?                                     你怎么拼写单词西雅图？                    كيف تتهجى كلمة سياتل؟
how does it taste?                                                a qué sabe?                                                             wie schmeckt es?                                                           quel est son goût?                                                           味はいかがですか？                                              как это на вкус?                                          그것은 얼마나 맛 있습니까?                                           Τι γεύση έχει;                                                            jak to smakuje?                                                    qual é o gosto?                                                        它什么味？                                كيف طعمها؟
how far is it?                                                    hasta dónde es?                                                         wie weit ist es?                                                           dans quelle mesure est-il?                                                   それはどこまでですか？                                          как далеко это?                                           이 얼마나 걸리나요?                                                  πόσο μακριά είναι αυτό;                                                   jak daleko to jest?                                                até que ponto é?                                                       有多远呢？                                إلى أي مدى هو؟
how far is it to Chicago?                                         ¿Qué distancia hay a Chicago?                                           wie weit ist es nach Chicago?                                              dans quelle mesure est-il à Chicago?                                         シカゴにどこまでですか？                                        как далеко она в Чикаго?                                  시카고에 얼마나 걸리나요?                                            Σε ποιο βαθμό είναι στο Σικάγο;                                           jak daleko jest do Chicago?                                        até que ponto é para Chicago?                                          多远是芝加哥？                            إلى أي مدى هو عليه الى شيكاغو؟
how is she?                                                       ¿Cómo está?                                                             wie ist sie?                                                               comment est-elle?                                                            彼女はどのように？                                              как она?                                                  그녀는 어떻게?                                                       Πώς είναι;                                                                jak ona jest?                                                      como ela está?                                                         她怎么样？                                كيف هي؟
how long are you going to stay?                                   cuánto tiempo vas a estar?                                              Wie lange wollen Sie bleiben?                                              combien de temps allez-vous rester?                                          どのくらい滞在するつもりですか？                                как долго вы собираетесь остановиться?                    얼마나 오래 머물 건가요?                                             πόσο καιρό θα μείνετε;                                                    Jak długo zamierzasz zostać?                                       quanto tempo você vai ficar?                                           多久你要留下来？                          متى أنت ذاهب للبقاء؟
how long are you going to stay in California?                     cuánto tiempo vas a permanecer en California?                           wie lange willst du in Kalifornien zu bleiben?                             combien de temps allez-vous rester en Californie?                            どのくらいあなたはカリフォルニアに滞在するつもりですか？        как долго вы собираетесь оставаться в Калифорнии?         얼마나 캘리포니아에 머물 건가요?                                     πόσο καιρό θα μείνετε στην Καλιφόρνια;                                    jak długo masz zamiar pozostać w Kalifornii?                       quanto tempo você vai ficar na Califórnia?                             多久你打算留在加州？                      متى انت ذاهب الى البقاء في ولاية كاليفورنيا؟
how long does it take by car?                                     cuánto tiempo se tarda en coche?                                        Wie lange dauert es mit dem Auto zu nehmen?                                combien de temps cela prend-il en voiture?                                   どのくらいの時間、車でかかりますか？                            как долго это займет на автомобиле?                       얼마나 차로 걸리나요?                                                πόσο καιρό παίρνει με το αυτοκίνητο;                                      jak długo trwa samochodem?                                         quanto tempo demora de carro?                                          如何长时间才能开车？                      كم من الوقت يستغرق بالسيارة؟
how long does it take to get to Georgia?                          ¿cuánto tiempo se tarda en llegar a Georgia?                            Wie lange dauert es, bis nach Georgien zu bekommen?                        combien de temps faut-il pour obtenir à la Géorgie?                          どのくらい時間がグルジアに到達するために時間がかかりますか？    как долго это займет, чтобы добраться до Грузии?          얼마나 조지아에 도착 걸립니까?                                       πόσο καιρό χρειάζεται για να φτάσετε στη Γεωργία;                         Jak długo trzeba czekać, aby dostać się do Gruzji?                 quanto tempo leva para chegar a Geórgia?                               多长时间才能到达格鲁吉亚的？              كم من الوقت يستغرق للوصول الى جورجيا؟
how long have you been here?                                      cuánto tiempo llevas aquí?                                              Wie lange sind Sie schon hier?                                             combien de temps êtes-vous ici?                                              どのくらいここにいた？                                          как долго вы были здесь?                                  얼마나 오래 있었나요?                                                πόσο καιρό είσαι εδώ;                                                     Jak długo tu jesteś?                                               quanto tempo você está aqui?                                           怎么你在这里多久了？                      منذ متى وانت كانت هنا؟
how long have you worked here?                                    ¿cuánto tiempo ha trabajado aquí?                                       Wie lange bist du schon hier gearbeitet?                                   combien de temps avez-vous travaillé ici?                                    どのくらいあなたがここに働いている？                            как долго вы работали здесь?                              얼마나 오래 일한?                                                    Πόσο καιρό έχετε εργαστεί εδώ;                                            Jak długo tu pracujesz?                                            há quanto tempo você trabalha aqui?                                    多久了，你在这里工作？                    منذ متى وانت تعمل هنا؟
how long is it?                                                   cuánto tiempo es?                                                       Wie lange ist das?                                                         combien de temps est-il?                                                     それはどのくらいですか？                                        как долго это?                                            그것은 얼마나 오래?                                                  πόσο καιρό είναι αυτό;                                                    jak długo to jest?                                                 quanto tempo é?                                                        是多久？                                  متى هو؟
how long is the flight?                                           cuánto dura el vuelo?                                                   wie lange dauert der flug?                                                 combien de temps dure le vol?                                                飛行はどのくらいですか？                                        сколько займет полет?                                     비행은 얼마나됩니까?                                                 πόσο καιρό είναι η πτήση;                                                 jak długo jest lot?                                                qual a duração do voo?                                                 飞多长时间？                              كم تستغرق رحلة الطيران؟
how long will it take?                                            cuánto tiempo tardará?                                                  wie lange wird es dauern?                                                  combien de temps ça va prendre?                                              どのくらい時間がかかりますか？                                  как много времени это займет?                             얼마나 걸립니까?                                                     πόσο καιρό θα πάρει;                                                      Jak długo to potrwa?                                               quanto tempo vai demorar?                                              它需要多长时间？                          كم من الوقت سوف يستغرق؟
how long will you be staying?                                     cuánto tiempo se quedará?                                               wie lange werden sie bleiben?                                              combien de temps resterez-vous?                                              どのくらい滞在しますか？                                        как долго вы будете оставаться?                           얼마나 오래 머물 것인가?                                             πόσο καιρό θα μείνετε;                                                    jak długo będzie pobyt?                                            por quanto tempo você vai ficar?                                       你会待多久？                              كم من الوقت سوف تبقى؟
how many?                                                         cuántos?                                                                wie viele?                                                                 combien?                                                                     幾つ？                                                          сколько?                                                  얼마나 많은?                                                         πόσα;                                                                     ile?                                                               quantos?                                                               多少？                                    كم عدد؟
how many children do you have?                                    cuántos hijos tienes?                                                   wie viele kinder haben sie?                                                combien d'enfants avez-vous?                                                 あなたはどのように多くの子供を持っていますか？                  сколько у вас детей?                                      당신의 자녀는 몇 명입니까?                                           πόσα παιδιά έχετε;                                                        Ile masz dzieci?                                                   quantos filhos você tem?                                               有多少孩子，你呢？                        كم عدد الأطفال لديك؟
how many hours a week do you work?                                cuántas horas a la semana trabaja usted?                                wie viele Stunden pro Woche arbeiten Sie?                                  combien d'heures par semaine travaillez-vous?                                あなたは何時間週働くのですか？                                  Сколько часов в неделю вы работаете?                      어떻게 일주일에 몇 시간 작동합니까?                                  πόσες ώρες την εβδομάδα εργάζεστε;                                        Ile godzin tygodniowo pracujesz?                                   Quantas horas por semana você trabalha?                                多少个小时，每周做你的工作？              كم ساعة في الأسبوع تعمل؟
how many languages do you speak?                                  cuántos idiomas hablas?                                                 Wie viele Sprachen sprechen Sie?                                           Combien de langues parlez-vous?                                              あなたはどのように多くの言語を話すのですか？                    На скольких языках вы говорите?                           당신은 얼마나 많은 언어를 사용합니까?                                πόσες γλώσσες μιλάτε;                                                     Ile znasz języków?                                                 quantas línguas você fala?                                             有多少语言，你说话？                      كم عدد اللغات التي تتحدثها؟
how many miles is it to Pennsylvania?                             cuántos kilómetros está a Pennsylvania?                                 wie viele Meilen ist es, Pennsylvania?                                     combien de miles est-il en Pennsylvanie?                                     ペンシルベニア州にどのように多くのマイルです？                  Сколько миль это в Пенсильвании?                          펜실베니아에 얼마나 많은 마일?                                       πόσα χιλιόμετρα είναι στην Πενσυλβανία;                                   ile kilometrów jest to do Pensylwanii?                             quantas milhas é a Pensilvânia?                                        多少英里是宾夕法尼亚州？                  كم ميلا إلى ولاية بنسلفانيا؟
how many people?                                                  ¿Cuántas personas?                                                      Wie viele Menschen?                                                        combien de personnes?                                                        何人？                                                          Сколько человек?                                          얼마나 많은 사람들이?                                                πόσοι άνθρωποι;                                                           Ile osób?                                                          Quantas pessoas?                                                       有多少人？                                كم من الناس؟
how many people are there in New York?                            cuántas personas hay en Nueva York?                                     Wie viele Menschen gibt es in New York?                                    combien de personnes sont là à New York?                                     ニューヨークでどのように多くの人がいる？                        сколько людей там в Нью-Йорке?                            뉴욕에서 얼마나 많은 사람들이 있습니까?                              πόσοι άνθρωποι βρίσκονται στη Νέα Υόρκη εκεί;                             jak wiele osób jest w Nowym Jorku?                                 quantas pessoas estão lá em Nova York?                                 有多少人有在纽约吗？                      كم من الناس هناك في نيويورك؟
how many people do you have in your family?                       cuánta gente tiene usted en su familia?                                 Wie viele Menschen haben Sie in Ihrer Familie?                             combien de personnes avez-vous dans votre famille?                           どのように多くの人々、あなたの家族を持っているのですか？        сколько людей у вас есть в вашей семье?                   얼마나 많은 사람들이 당신은 당신의 가정에서해야합니까?               πόσοι άνθρωποι έχετε στην οικογένειά σας;                                 ile osób masz w swojej rodzinie?                                   quantas pessoas você tem em sua família?                               有多少人，你有你的家人？                  كم من الناس هل لديك في عائلتك؟
how much all together?                                            cuánto todos juntos?                                                    wie viel alles zusammen?                                                   combien tout ensemble?                                                       どのくらいのすべて一緒に？                                      сколько все вместе?                                       얼마나 모두 함께?                                                    πόσο όλοι μαζί;                                                           jak bardzo wszyscy razem?                                          quanto todos juntos?                                                   多少都在一起？                            كم جميعا معا؟
